task,model,run,build_ok,test_ok,in_tok,out_tok,cost_usd,latency_s,workdir
bug1-petvalidator,minimax/minimax-m3,1,True,True,690,728,0.0011,23.0,results\bug1-petvalidator__minimax_minimax-m3__r1
bug1-petvalidator,minimax/minimax-m3,2,True,True,690,635,0.001,12.7,results\bug1-petvalidator__minimax_minimax-m3__r2
bug1-petvalidator,minimax/minimax-m3,3,True,True,690,517,0.0008,9.0,results\bug1-petvalidator__minimax_minimax-m3__r3
bug1-petvalidator,deepseek/deepseek-v4-flash,1,True,True,555,555,0.0001,6.2,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r1
bug1-petvalidator,deepseek/deepseek-v4-flash,2,True,True,555,630,0.0002,6.8,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r2
bug1-petvalidator,deepseek/deepseek-v4-flash,3,True,True,555,669,0.0002,7.3,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r3
bug1-petvalidator,z-ai/glm-4.7,1,True,True,519,1419,0.0027,29.5,results\bug1-petvalidator__z-ai_glm-4.7__r1
bug1-petvalidator,z-ai/glm-4.7,2,True,True,519,1074,0.0021,21.4,results\bug1-petvalidator__z-ai_glm-4.7__r2
bug1-petvalidator,z-ai/glm-4.7,3,True,True,519,1428,0.0027,26.5,results\bug1-petvalidator__z-ai_glm-4.7__r3
bug2-ownercontroller,minimax/minimax-m3,1,True,True,1681,3435,0.0046,45.1,results\bug2-ownercontroller__minimax_minimax-m3__r1
bug2-ownercontroller,minimax/minimax-m3,2,True,True,1730,1517,0.0023,18.8,results\bug2-ownercontroller__minimax_minimax-m3__r2
bug2-ownercontroller,minimax/minimax-m3,3,True,True,1730,1757,0.0026,15.5,results\bug2-ownercontroller__minimax_minimax-m3__r3
bug2-ownercontroller,deepseek/deepseek-v4-flash,1,True,True,1614,1673,0.0004,12.9,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r1
bug2-ownercontroller,deepseek/deepseek-v4-flash,2,True,True,1614,1848,0.0005,22.9,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r2
bug2-ownercontroller,deepseek/deepseek-v4-flash,3,True,True,1614,1824,0.0005,9.1,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r3
bug2-ownercontroller,z-ai/glm-4.7,1,True,True,1464,2316,0.0046,31.2,results\bug2-ownercontroller__z-ai_glm-4.7__r1
bug2-ownercontroller,z-ai/glm-4.7,2,True,True,1464,2115,0.0043,10.3,results\bug2-ownercontroller__z-ai_glm-4.7__r2
bug2-ownercontroller,z-ai/glm-4.7,3,True,True,1464,3711,0.0071,63.5,results\bug2-ownercontroller__z-ai_glm-4.7__r3
