task,model,run,build_ok,test_ok,in_tok,out_tok,cost_usd,latency_s,workdir
bug1-petvalidator,Modelo A,1,True,True,690,728,0.0011,23.0,results\bug1-petvalidator__minimax_minimax-m3__r1
bug1-petvalidator,Modelo A,2,True,True,690,635,0.001,12.7,results\bug1-petvalidator__minimax_minimax-m3__r2
bug1-petvalidator,Modelo A,3,True,True,690,517,0.0008,9.0,results\bug1-petvalidator__minimax_minimax-m3__r3
bug1-petvalidator,Modelo C,1,True,True,555,555,0.0001,6.2,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r1
bug1-petvalidator,Modelo C,2,True,True,555,630,0.0002,6.8,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r2
bug1-petvalidator,Modelo C,3,True,True,555,669,0.0002,7.3,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r3
bug1-petvalidator,Modelo B,1,True,True,519,1419,0.0027,29.5,results\bug1-petvalidator__z-ai_glm-4.7__r1
bug1-petvalidator,Modelo B,2,True,True,519,1074,0.0021,21.4,results\bug1-petvalidator__z-ai_glm-4.7__r2
bug1-petvalidator,Modelo B,3,True,True,519,1428,0.0027,26.5,results\bug1-petvalidator__z-ai_glm-4.7__r3
bug2-ownercontroller,Modelo A,1,True,True,1681,3435,0.0046,45.1,results\bug2-ownercontroller__minimax_minimax-m3__r1
bug2-ownercontroller,Modelo A,2,True,True,1730,1517,0.0023,18.8,results\bug2-ownercontroller__minimax_minimax-m3__r2
bug2-ownercontroller,Modelo A,3,True,True,1730,1757,0.0026,15.5,results\bug2-ownercontroller__minimax_minimax-m3__r3
bug2-ownercontroller,Modelo C,1,True,True,1614,1673,0.0004,12.9,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r1
bug2-ownercontroller,Modelo C,2,True,True,1614,1848,0.0005,22.9,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r2
bug2-ownercontroller,Modelo C,3,True,True,1614,1824,0.0005,9.1,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r3
bug2-ownercontroller,Modelo B,1,True,True,1464,2316,0.0046,31.2,results\bug2-ownercontroller__z-ai_glm-4.7__r1
bug2-ownercontroller,Modelo B,2,True,True,1464,2115,0.0043,10.3,results\bug2-ownercontroller__z-ai_glm-4.7__r2
bug2-ownercontroller,Modelo B,3,True,True,1464,3711,0.0071,63.5,results\bug2-ownercontroller__z-ai_glm-4.7__r3
sb-feat1-name-length,Modelo A,1,True,True,744,1371,0.0019,23.7,results\sb-feat1-name-length__minimax_minimax-m3__r1
sb-feat1-name-length,Modelo A,2,True,True,744,687,0.001,11.0,results\sb-feat1-name-length__minimax_minimax-m3__r2
sb-feat1-name-length,Modelo A,3,True,True,744,1378,0.0019,23.5,results\sb-feat1-name-length__minimax_minimax-m3__r3
sb-feat1-name-length,Modelo C,1,True,True,595,509,0.0001,11.0,results\sb-feat1-name-length__deepseek_deepseek-v4-flash__r1
sb-feat1-name-length,Modelo C,2,True,True,612,905,0.0002,10.8,results\sb-feat1-name-length__deepseek_deepseek-v4-flash__r2
sb-feat1-name-length,Modelo C,3,True,True,595,2096,0.0004,16.4,results\sb-feat1-name-length__deepseek_deepseek-v4-flash__r3
sb-feat1-name-length,Modelo B,1,True,True,560,2631,0.0048,38.4,results\sb-feat1-name-length__z-ai_glm-4.7__r1
sb-feat1-name-length,Modelo B,2,False,False,560,2616,0.0048,125.0,results\sb-feat1-name-length__z-ai_glm-4.7__r2
sb-feat1-name-length,Modelo B,3,True,True,560,2586,0.0047,128.2,results\sb-feat1-name-length__z-ai_glm-4.7__r3
ng-bug1-missing-input,Modelo A,1,True,True,1208,1064,0.0016,15.4,results\ng-bug1-missing-input__minimax_minimax-m3__r1
ng-bug1-missing-input,Modelo A,1,True,True,1208,1105,0.0017,15.0,results\ng-bug1-missing-input__minimax_minimax-m3__r1
ng-bug1-missing-input,Modelo A,2,True,True,1208,1086,0.0017,14.9,results\ng-bug1-missing-input__minimax_minimax-m3__r2
ng-bug1-missing-input,Modelo C,1,True,True,1070,1126,0.0003,10.9,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r1
ng-bug1-missing-input,Modelo C,2,True,True,1070,1096,0.0003,9.3,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r2
ng-bug1-missing-input,Modelo C,3,True,True,1070,983,0.0003,9.7,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r3
ng-bug1-missing-input,Modelo B,1,True,True,999,1484,0.003,31.0,results\ng-bug1-missing-input__z-ai_glm-4.7__r1
ng-bug1-missing-input,Modelo B,2,True,True,999,1521,0.0031,23.4,results\ng-bug1-missing-input__z-ai_glm-4.7__r2
ng-bug1-missing-input,Modelo B,3,True,True,999,2353,0.0045,84.2,results\ng-bug1-missing-input__z-ai_glm-4.7__r3
ng-feat1-reading-time,Modelo A,1,True,True,683,452,0.0007,4.5,results\ng-feat1-reading-time__minimax_minimax-m3__r1
ng-feat1-reading-time,Modelo A,2,True,True,696,2306,0.003,22.7,results\ng-feat1-reading-time__minimax_minimax-m3__r2
ng-feat1-reading-time,Modelo A,3,True,True,696,4227,0.0053,48.4,results\ng-feat1-reading-time__minimax_minimax-m3__r3
ng-feat1-reading-time,Modelo C,1,True,True,539,956,0.0002,8.9,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r1
ng-feat1-reading-time,Modelo C,2,True,True,539,949,0.0002,54.2,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r2
ng-feat1-reading-time,Modelo C,3,True,True,539,904,0.0002,8.8,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r3
ng-feat1-reading-time,Modelo B,1,True,True,511,2422,0.0044,18.5,results\ng-feat1-reading-time__z-ai_glm-4.7__r1
ng-feat1-reading-time,Modelo B,2,True,True,511,2231,0.0041,33.6,results\ng-feat1-reading-time__z-ai_glm-4.7__r2
ng-feat1-reading-time,Modelo B,3,True,True,511,1818,0.0034,27.3,results\ng-feat1-reading-time__z-ai_glm-4.7__r3
ng-feat2-service-search,Modelo A,1,True,True,854,924,0.0014,13.1,results\ng-feat2-service-search__minimax_minimax-m3__r1
ng-feat2-service-search,Modelo A,2,True,True,854,929,0.0014,12.9,results\ng-feat2-service-search__minimax_minimax-m3__r2
ng-feat2-service-search,Modelo A,3,True,True,854,1040,0.0015,13.5,results\ng-feat2-service-search__minimax_minimax-m3__r3
ng-feat2-service-search,Modelo C,1,True,True,690,970,0.0002,8.3,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r1
ng-feat2-service-search,Modelo C,2,True,True,690,863,0.0002,9.0,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r2
ng-feat2-service-search,Modelo C,3,True,True,690,846,0.0002,8.3,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r3
ng-feat2-service-search,Modelo B,1,True,True,632,2135,0.004,54.6,results\ng-feat2-service-search__z-ai_glm-4.7__r1
ng-feat2-service-search,Modelo B,2,True,True,632,2071,0.0039,30.3,results\ng-feat2-service-search__z-ai_glm-4.7__r2
ng-feat2-service-search,Modelo B,3,True,True,632,2125,0.004,29.8,results\ng-feat2-service-search__z-ai_glm-4.7__r3
re-bug1-favorite-count,Modelo A,1,True,True,830,742,0.0011,16.5,results\re-bug1-favorite-count__minimax_minimax-m3__r1
re-bug1-favorite-count,Modelo A,2,True,True,830,820,0.0012,35.3,results\re-bug1-favorite-count__minimax_minimax-m3__r2
re-bug1-favorite-count,Modelo A,3,True,True,830,969,0.0014,17.3,results\re-bug1-favorite-count__minimax_minimax-m3__r3
re-bug1-favorite-count,Modelo C,1,True,True,699,579,0.0002,35.3,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r1
re-bug1-favorite-count,Modelo C,2,True,True,699,898,0.0002,8.7,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r2
re-bug1-favorite-count,Modelo C,3,True,True,699,803,0.0002,8.3,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r3
re-bug1-favorite-count,Modelo B,1,True,True,610,1267,0.0025,16.7,results\re-bug1-favorite-count__z-ai_glm-4.7__r1
re-bug1-favorite-count,Modelo B,2,True,True,610,1303,0.0025,29.2,results\re-bug1-favorite-count__z-ai_glm-4.7__r2
re-bug1-favorite-count,Modelo B,3,True,True,610,1658,0.0031,21.5,results\re-bug1-favorite-count__z-ai_glm-4.7__r3
re-feat1-reading-time,Modelo A,1,True,True,333,572,0.0008,7.9,results\re-feat1-reading-time__minimax_minimax-m3__r1
re-feat1-reading-time,Modelo A,2,True,True,333,1131,0.0015,16.6,results\re-feat1-reading-time__minimax_minimax-m3__r2
re-feat1-reading-time,Modelo A,3,True,True,333,707,0.0009,10.5,results\re-feat1-reading-time__minimax_minimax-m3__r3
re-feat1-reading-time,Modelo C,1,True,True,166,374,0.0001,4.5,results\re-feat1-reading-time__deepseek_deepseek-v4-flash__r1
re-feat1-reading-time,Modelo C,2,True,True,166,489,0.0001,4.7,results\re-feat1-reading-time__deepseek_deepseek-v4-flash__r2
re-feat1-reading-time,Modelo C,3,True,True,166,1275,0.0002,13.8,results\re-feat1-reading-time__deepseek_deepseek-v4-flash__r3
re-feat1-reading-time,Modelo B,1,True,True,165,2370,0.0042,10.2,results\re-feat1-reading-time__z-ai_glm-4.7__r1
re-feat1-reading-time,Modelo B,2,True,True,165,4101,0.0072,60.1,results\re-feat1-reading-time__z-ai_glm-4.7__r2
re-feat1-reading-time,Modelo B,3,True,True,165,3947,0.007,56.9,results\re-feat1-reading-time__z-ai_glm-4.7__r3
re-feat2-author-filter,Modelo A,1,True,True,850,580,0.001,5.7,results\re-feat2-author-filter__minimax_minimax-m3__r1
re-feat2-author-filter,Modelo A,2,False,False,850,585,0.001,5.7,results\re-feat2-author-filter__minimax_minimax-m3__r2
re-feat2-author-filter,Modelo A,3,False,False,863,750,0.0012,6.9,results\re-feat2-author-filter__minimax_minimax-m3__r3
re-feat2-author-filter,Modelo C,1,True,True,742,1356,0.0003,13.9,results\re-feat2-author-filter__deepseek_deepseek-v4-flash__r1
re-feat2-author-filter,Modelo C,2,True,True,742,1110,0.0003,11.6,results\re-feat2-author-filter__deepseek_deepseek-v4-flash__r2
re-feat2-author-filter,Modelo C,3,False,False,742,1451,0.0003,15.2,results\re-feat2-author-filter__deepseek_deepseek-v4-flash__r3
re-feat2-author-filter,Modelo B,1,False,False,644,1457,0.0028,25.1,results\re-feat2-author-filter__z-ai_glm-4.7__r1
re-feat2-author-filter,Modelo B,2,ERROR,ERROR,0,0,0,0,"expected string or bytes-like object, got 'NoneType'"
re-feat2-author-filter,Modelo B,3,True,True,644,3761,0.0068,16.3,results\re-feat2-author-filter__z-ai_glm-4.7__r3
data-bug1-sales-genre,Modelo A,1,True,True,470,260,0.0005,9.7,results\data-bug1-sales-genre__minimax_minimax-m3__r1
